,date,nofsales,L7,L14,L21,L91,MA8,holiday,day,weekday,month,weekend,firstdays,lastdays,middledays,odd,December,season_autumn,season_spring,season_summer,season_winter,quarter_q1,quarter_q2,quarter_q3,quarter_q4,sumwin_s,sumwin_w,week,montlyaverage,weekdailyaverage,dailyaverage,weeklyaverage,predict,error,abserror,ape
3097,2015-08-01,15,12.0,16.0,8.0,18.0,8.25,0,1,5,8,True,True,False,False,1,False,0,0,1,0,0,0,1,0,1,0,1,10.75,15.524038461538462,10.607655502392344,10.607655502392344,12,3,3,0.22222213991772596
3098,2015-08-02,0,0.0,0.0,0.0,3.0,8.625,0,2,6,8,True,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,1,10.75,0.6634615384615384,12.382775119617225,10.607655502392344,0,0,0,0.0
3099,2015-08-03,5,8.0,9.0,10.0,14.0,8.625,0,3,0,8,False,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,2,10.75,10.052884615384615,11.923444976076555,12.382775119617225,10,-5,5,0.6666662222225186
3100,2015-08-04,13,14.0,7.0,5.0,10.0,8.25,0,4,1,8,False,True,False,False,1,False,0,0,1,0,0,0,1,0,1,0,2,10.75,10.607655502392344,13.038277511961722,12.382775119617225,10,3,3,0.26086945179589055
3101,2015-08-05,14,8.0,14.0,16.0,10.0,8.125,0,5,2,8,False,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,2,10.75,12.382775119617225,15.524038461538462,12.382775119617225,12,2,2,0.15384609467457896
3102,2015-08-06,12,6.0,15.0,1.0,14.0,8.875,0,6,3,8,False,True,False,False,1,False,0,0,1,0,0,0,1,0,1,0,2,10.75,11.923444976076555,0.6634615384615384,12.382775119617225,11,1,1,0.08695648393196351
3128,2015-09-01,10,6.0,15.0,8.0,6.0,9.0,0,1,1,9,False,True,False,False,1,False,1,0,0,0,0,0,1,0,1,0,1,11.041666666666666,10.607655502392344,10.607655502392344,10.607655502392344,10,0,0,0.0
3129,2015-09-02,9,8.0,14.0,19.0,7.0,9.5,0,2,2,9,False,True,False,False,0,False,1,0,0,0,0,0,1,0,1,0,1,11.041666666666666,12.382775119617225,12.382775119617225,10.607655502392344,12,-3,3,0.28571414965992875
3130,2015-09-03,9,11.0,12.0,12.0,9.0,9.625,0,3,3,9,False,True,False,False,1,False,1,0,0,0,0,0,1,0,1,0,1,11.041666666666666,11.923444976076555,11.923444976076555,10.607655502392344,11,-2,2,0.19999990000005
3131,2015-09-04,12,14.0,10.0,15.0,15.0,9.375,0,4,4,9,False,True,False,False,0,False,1,0,0,0,0,0,1,0,1,0,1,11.041666666666666,13.038277511961722,13.038277511961722,10.607655502392344,12,0,0,0.0
3132,2015-09-05,13,21.0,21.0,21.0,7.0,9.125,0,5,5,9,True,True,False,False,1,False,1,0,0,0,0,0,1,0,1,0,1,11.041666666666666,15.524038461538462,15.524038461538462,10.607655502392344,14,-1,1,0.07407404663924198
3133,2015-09-06,1,0.0,0.0,1.0,1.0,8.125,0,6,6,9,True,True,False,False,0,False,1,0,0,0,0,0,1,0,1,0,1,11.041666666666666,0.6634615384615384,0.6634615384615384,10.607655502392344,0,1,1,1.9999800001999979
3158,2015-10-01,9,14.0,14.0,13.0,9.0,7.625,0,1,3,10,False,True,False,False,1,False,1,0,0,0,0,0,0,1,1,0,1,11.540322580645162,11.923444976076555,10.607655502392344,10.607655502392344,11,-2,2,0.19999990000005
3159,2015-10-02,6,15.0,14.0,10.0,9.0,7.0,0,2,4,10,False,True,False,False,0,False,1,0,0,0,0,0,0,1,1,0,1,11.540322580645162,13.038277511961722,12.382775119617225,10.607655502392344,11,-5,5,0.5882349480970893
3160,2015-10-03,3,11.0,32.0,17.0,13.0,5.875,0,3,5,10,True,True,False,False,1,False,1,0,0,0,0,0,0,1,1,0,1,11.540322580645162,15.524038461538462,11.923444976076555,10.607655502392344,11,-8,8,1.1428563265311953
3161,2015-10-04,0,1.0,0.0,1.0,1.0,4.875,0,4,6,10,True,True,False,False,0,False,1,0,0,0,0,0,0,1,1,0,1,11.540322580645162,0.6634615384615384,13.038277511961722,10.607655502392344,0,0,0,0.0
3162,2015-10-05,1,0.0,5.0,7.0,7.0,4.75,0,5,0,10,False,True,False,False,0,False,1,0,0,0,0,0,0,1,1,0,2,11.540322580645162,10.052884615384615,15.524038461538462,12.382775119617225,2,-1,1,0.6666644444518518
3163,2015-10-06,6,8.0,12.0,15.0,9.0,4.875,0,6,1,10,False,True,False,False,1,False,1,0,0,0,0,0,0,1,1,0,2,11.540322580645162,10.607655502392344,0.6634615384615384,12.382775119617225,10,-4,4,0.4999996875001953
3189,2015-11-01,8,0.0,2.0,1.0,0.0,14.125,0,1,6,11,True,True,False,False,0,False,1,0,0,0,0,0,0,1,0,1,1,14.066666666666666,0.6634615384615384,10.607655502392344,10.607655502392344,5,3,3,0.46153810650914884
3190,2015-11-02,10,10.0,15.0,8.0,5.0,15.125,0,2,0,11,False,True,False,False,0,False,1,0,0,0,0,0,0,1,0,1,2,14.066666666666666,10.052884615384615,12.382775119617225,12.382775119617225,12,-2,2,0.1818180991735913
3191,2015-11-03,2,13.0,18.0,16.0,13.0,15.125,0,3,1,11,False,True,False,False,1,False,1,0,0,0,0,0,0,1,0,1,2,14.066666666666666,10.607655502392344,11.923444976076555,12.382775119617225,12,-10,10,1.4285704081639943
3192,2015-11-04,8,16.0,18.0,16.0,14.0,13.75,0,4,2,11,False,True,False,False,0,False,1,0,0,0,0,0,0,1,0,1,2,14.066666666666666,12.382775119617225,13.038277511961722,12.382775119617225,14,-6,6,0.5454542975207739
3193,2015-11-05,17,25.0,13.0,15.0,12.0,12.75,0,5,3,11,False,True,False,False,1,False,1,0,0,0,0,0,0,1,0,1,2,14.066666666666666,11.923444976076555,15.524038461538462,12.382775119617225,16,1,1,0.06060604224059325
3194,2015-11-06,21,19.0,19.0,15.0,16.0,11.75,0,6,4,11,False,True,False,False,0,False,1,0,0,0,0,0,0,1,0,1,2,14.066666666666666,13.038277511961722,0.6634615384615384,12.382775119617225,16,5,5,0.270270197224271
3219,2015-12-01,11,14.0,8.0,13.0,10.0,11.375,0,1,1,12,False,True,False,False,1,True,0,0,0,1,0,0,0,1,0,1,1,10.314516129032258,10.607655502392344,10.607655502392344,10.607655502392344,11,0,0,0.0
3220,2015-12-02,16,8.0,16.0,16.0,9.0,11.0,0,2,2,12,False,True,False,False,0,True,0,0,0,1,0,0,0,1,0,1,1,10.314516129032258,12.382775119617225,12.382775119617225,10.607655502392344,13,3,3,0.20689648038052402
3221,2015-12-03,14,17.0,11.0,13.0,9.0,12.0,0,3,3,12,False,True,False,False,1,True,0,0,0,1,0,0,0,1,0,1,1,10.314516129032258,11.923444976076555,11.923444976076555,10.607655502392344,14,0,0,0.0
3222,2015-12-04,17,20.0,16.0,18.0,12.0,11.625,0,4,4,12,False,True,False,False,0,True,0,0,0,1,0,0,0,1,0,1,1,10.314516129032258,13.038277511961722,13.038277511961722,10.607655502392344,15,2,2,0.1249999609375122
3223,2015-12-05,26,25.0,25.0,33.0,13.0,11.25,0,5,5,12,True,True,False,False,1,True,0,0,0,1,0,0,0,1,0,1,1,10.314516129032258,15.524038461538462,15.524038461538462,10.607655502392344,22,4,4,0.16666663194445167
3224,2015-12-06,0,0.0,3.0,0.0,1.0,11.375,0,6,6,12,True,True,False,False,0,True,0,0,0,1,0,0,0,1,0,1,1,10.314516129032258,0.6634615384615384,0.6634615384615384,10.607655502392344,1,-1,1,1.9999800001999979
3250,2016-01-01,1,0.0,15.0,12.0,6.0,0.0,1,1,4,1,False,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,1,5.185483870967742,13.038277511961722,10.607655502392344,10.607655502392344,1,0,0,0.0
3251,2016-01-02,1,0.0,10.0,23.0,3.0,0.125,0,2,5,1,True,True,False,False,1,False,0,0,0,1,1,0,0,0,0,1,1,5.185483870967742,15.524038461538462,12.382775119617225,10.607655502392344,1,0,0,0.0
3252,2016-01-03,0,0.0,0.0,1.0,0.0,0.25,0,3,6,1,True,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,1,5.185483870967742,0.6634615384615384,11.923444976076555,10.607655502392344,0,0,0,0.0
3253,2016-01-04,1,0.0,12.0,6.0,1.0,0.25,0,4,0,1,False,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,2,5.185483870967742,10.052884615384615,13.038277511961722,12.382775119617225,1,0,0,0.0
3254,2016-01-05,1,0.0,24.0,14.0,6.0,0.375,0,5,1,1,False,True,False,False,1,False,0,0,0,1,1,0,0,0,0,1,2,5.185483870967742,10.607655502392344,15.524038461538462,12.382775119617225,1,0,0,0.0
3255,2016-01-06,0,0.0,29.0,22.0,6.0,0.5,0,6,2,1,False,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,2,5.185483870967742,12.382775119617225,0.6634615384615384,12.382775119617225,1,-1,1,1.9999800001999979
3281,2016-02-01,10,11.0,7.0,4.0,10.0,8.75,0,1,0,2,False,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,1,12.398230088495575,10.052884615384615,10.607655502392344,10.607655502392344,11,-1,1,0.09523804988664292
3282,2016-02-02,10,1.0,7.0,3.0,2.0,8.625,0,2,1,2,False,True,False,False,1,False,0,0,0,1,1,0,0,0,0,1,1,12.398230088495575,10.607655502392344,12.382775119617225,10.607655502392344,10,0,0,0.0
3283,2016-02-03,14,15.0,11.0,7.0,8.0,9.75,0,3,2,2,False,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,1,12.398230088495575,12.382775119617225,11.923444976076555,10.607655502392344,13,1,1,0.07407404663924198
3284,2016-02-04,19,16.0,12.0,6.0,17.0,9.625,0,4,3,2,False,True,False,False,1,False,0,0,0,1,1,0,0,0,0,1,1,12.398230088495575,11.923444976076555,13.038277511961722,10.607655502392344,12,7,7,0.45161275754427177
3285,2016-02-05,11,17.0,16.0,8.0,21.0,10.0,0,5,4,2,False,True,False,False,0,False,0,0,0,1,1,0,0,0,0,1,1,12.398230088495575,13.038277511961722,15.524038461538462,10.607655502392344,13,-2,2,0.16666659722225116
3286,2016-02-06,15,8.0,2.0,0.0,33.0,9.25,0,6,5,2,True,True,False,False,1,False,0,0,0,1,1,0,0,0,0,1,1,12.398230088495575,15.524038461538462,0.6634615384615384,10.607655502392344,14,1,1,0.06896549346017466
3310,2016-03-01,12,18.0,9.0,14.0,11.0,13.375,0,1,1,3,False,True,False,False,1,False,0,1,0,0,1,0,0,0,0,1,1,11.709677419354838,10.607655502392344,10.607655502392344,10.607655502392344,13,-1,1,0.0799999680000128
3311,2016-03-02,18,14.0,21.0,10.0,16.0,12.625,0,2,2,3,False,True,False,False,0,False,0,1,0,0,1,0,0,0,0,1,1,11.709677419354838,12.382775119617225,12.382775119617225,10.607655502392344,15,3,3,0.18181812672177977
3312,2016-03-03,14,13.0,19.0,12.0,14.0,13.125,0,3,3,3,False,True,False,False,1,False,0,1,0,0,1,0,0,0,0,1,1,11.709677419354838,11.923444976076555,11.923444976076555,10.607655502392344,15,-1,1,0.06896549346017466
3313,2016-03-04,20,22.0,11.0,15.0,17.0,13.25,0,4,4,3,False,True,False,False,0,False,0,1,0,0,1,0,0,0,0,1,1,11.709677419354838,13.038277511961722,13.038277511961722,10.607655502392344,17,3,3,0.1621621183345626
3314,2016-03-05,15,27.0,18.0,15.0,26.0,13.0,0,5,5,3,True,True,False,False,1,False,0,1,0,0,1,0,0,0,0,1,1,11.709677419354838,15.524038461538462,15.524038461538462,10.607655502392344,19,-4,4,0.2352940484429269
3315,2016-03-06,3,0.0,1.0,0.0,0.0,11.5,0,6,6,3,True,True,False,False,0,False,0,1,0,0,1,0,0,0,0,1,1,11.709677419354838,0.6634615384615384,0.6634615384615384,10.607655502392344,2,1,1,0.39999920000160005
3341,2016-04-01,21,1.0,17.0,19.0,1.0,4.5,0,1,4,4,False,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,1,10.75,13.038277511961722,10.607655502392344,10.607655502392344,15,6,6,0.3333332407407664
3342,2016-04-02,15,1.0,31.0,8.0,1.0,7.0,0,2,5,4,True,True,False,False,1,False,0,1,0,0,0,1,0,0,1,0,1,10.75,15.524038461538462,12.382775119617225,10.607655502392344,14,1,1,0.06896549346017466
3343,2016-04-03,0,0.0,0.0,0.0,0.0,8.75,0,3,6,4,True,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,1,10.75,0.6634615384615384,11.923444976076555,10.607655502392344,0,0,0,0.0
3344,2016-04-04,27,1.0,17.0,0.0,1.0,8.75,0,4,0,4,False,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,2,10.75,10.052884615384615,13.038277511961722,12.382775119617225,20,7,7,0.29787227704845165
3345,2016-04-05,10,8.0,19.0,14.0,1.0,12.0,0,5,1,4,False,True,False,False,1,False,0,1,0,0,0,1,0,0,1,0,2,10.75,10.607655502392344,15.524038461538462,12.382775119617225,12,-2,2,0.1818180991735913
3346,2016-04-06,21,13.0,15.0,15.0,0.0,12.25,0,6,2,4,False,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,2,10.75,12.382775119617225,0.6634615384615384,12.382775119617225,15,6,6,0.3333332407407664
3371,2016-05-01,0,1.0,0.0,1.0,2.0,8.625,0,1,6,5,True,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,1,11.42741935483871,0.6634615384615384,10.607655502392344,10.607655502392344,0,0,0,0.0
3372,2016-05-02,13,2.0,14.0,11.0,10.0,8.5,0,2,0,5,False,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,2,11.42741935483871,10.052884615384615,12.382775119617225,12.382775119617225,12,1,1,0.0799999680000128
3373,2016-05-03,16,8.0,16.0,13.0,10.0,9.875,0,3,1,5,False,True,False,False,1,False,0,1,0,0,0,1,0,0,1,0,2,11.42741935483871,10.607655502392344,11.923444976076555,12.382775119617225,12,4,4,0.2857141836735058
3374,2016-05-04,12,14.0,16.0,7.0,14.0,10.875,0,4,2,5,False,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,2,11.42741935483871,12.382775119617225,13.038277511961722,12.382775119617225,13,-1,1,0.0799999680000128
3375,2016-05-05,16,9.0,21.0,8.0,19.0,10.625,0,5,3,5,False,True,False,False,1,False,0,1,0,0,0,1,0,0,1,0,2,11.42741935483871,11.923444976076555,15.524038461538462,12.382775119617225,13,3,3,0.20689648038052402
3376,2016-05-06,12,8.0,16.0,8.0,11.0,11.5,0,6,4,5,False,True,False,False,0,False,0,1,0,0,0,1,0,0,1,0,2,11.42741935483871,13.038277511961722,0.6634615384615384,12.382775119617225,14,-2,2,0.15384609467457896
3402,2016-06-01,8,20.0,8.0,10.0,18.0,11.25,0,1,2,6,False,True,False,False,0,False,0,0,1,0,0,1,0,0,1,0,1,8.891666666666667,12.382775119617225,10.607655502392344,10.607655502392344,12,-4,4,0.3999998000001
3403,2016-06-02,4,7.0,14.0,12.0,14.0,9.75,0,2,3,6,False,True,False,False,1,False,0,0,1,0,0,1,0,0,1,0,1,8.891666666666667,11.923444976076555,12.382775119617225,10.607655502392344,9,-5,5,0.7692301775152481
3404,2016-06-03,9,13.0,16.0,8.0,20.0,9.375,0,3,4,6,False,True,False,False,0,False,0,0,1,0,0,1,0,0,1,0,1,8.891666666666667,13.038277511961722,11.923444976076555,10.607655502392344,11,-2,2,0.19999990000005
3405,2016-06-04,18,28.0,24.0,15.0,15.0,8.875,0,4,5,6,True,True,False,False,1,False,0,0,1,0,0,1,0,0,1,0,1,8.891666666666667,15.524038461538462,13.038277511961722,10.607655502392344,16,2,2,0.11764702422146345
3406,2016-06-05,0,0.0,2.0,2.0,3.0,7.625,0,5,6,6,True,True,False,False,0,False,0,0,1,0,0,1,0,0,1,0,1,8.891666666666667,0.6634615384615384,15.524038461538462,10.607655502392344,1,-1,1,1.9999800001999979
3407,2016-06-06,7,13.0,12.0,8.0,10.0,7.625,0,6,0,6,False,True,False,False,0,False,0,0,1,0,0,1,0,0,1,0,2,8.891666666666667,10.052884615384615,0.6634615384615384,12.382775119617225,9,-2,2,0.24999984375009765
3432,2016-07-01,13,9.0,11.0,13.0,21.0,8.625,0,1,4,7,False,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,1,9.382113821138212,13.038277511961722,10.607655502392344,10.607655502392344,12,1,1,0.0799999680000128
3433,2016-07-02,3,18.0,16.0,3.0,15.0,9.125,0,2,5,7,True,True,False,False,1,False,0,0,1,0,0,0,1,0,1,0,1,9.382113821138212,15.524038461538462,12.382775119617225,10.607655502392344,12,-9,9,1.1999992000005333
3434,2016-07-03,0,0.0,0.0,0.0,0.0,7.25,0,3,6,7,True,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,1,9.382113821138212,0.6634615384615384,11.923444976076555,10.607655502392344,0,0,0,0.0
3435,2016-07-04,7,6.0,6.0,1.0,27.0,7.25,1,4,0,7,False,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,2,9.382113821138212,10.052884615384615,13.038277511961722,12.382775119617225,10,-3,3,0.3529409688582536
3436,2016-07-05,10,8.0,4.0,5.0,10.0,7.375,0,5,1,7,False,True,False,False,1,False,0,0,1,0,0,0,1,0,1,0,2,9.382113821138212,10.607655502392344,15.524038461538462,12.382775119617225,10,0,0,0.0
3437,2016-07-06,14,14.0,16.0,14.0,21.0,7.625,0,6,2,7,False,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,2,9.382113821138212,12.382775119617225,0.6634615384615384,12.382775119617225,12,2,2,0.15384609467457896
3463,2016-08-01,4,9.0,8.0,5.0,13.0,8.5,0,1,0,8,False,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,1,10.75,10.052884615384615,10.607655502392344,10.607655502392344,10,-6,6,0.8571422448983965
3464,2016-08-02,8,10.0,2.0,11.0,16.0,7.875,0,2,1,8,False,True,False,False,1,False,0,0,1,0,0,0,1,0,1,0,1,10.75,10.607655502392344,12.382775119617225,10.607655502392344,10,-2,2,0.2222220987655007
3465,2016-08-03,11,6.0,13.0,7.0,12.0,7.625,0,3,2,8,False,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,1,10.75,12.382775119617225,11.923444976076555,10.607655502392344,12,-1,1,0.08695648393196351
3466,2016-08-04,8,13.0,6.0,9.0,16.0,8.25,0,4,3,8,False,True,False,False,1,False,0,0,1,0,0,0,1,0,1,0,1,10.75,11.923444976076555,13.038277511961722,10.607655502392344,10,-2,2,0.2222220987655007
3467,2016-08-05,15,16.0,4.0,4.0,12.0,7.625,0,5,4,8,False,True,False,False,0,False,0,0,1,0,0,0,1,0,1,0,1,10.75,13.038277511961722,15.524038461538462,10.607655502392344,12,3,3,0.22222213991772596
3468,2016-08-06,16,13.0,14.0,11.0,11.0,7.5,0,6,5,8,True,True,False,False,1,False,0,0,1,0,0,0,1,0,1,0,1,10.75,15.524038461538462,0.6634615384615384,10.607655502392344,12,4,4,0.2857141836735058
3494,2016-09-01,7,18.0,7.0,7.0,4.0,10.875,0,1,3,9,False,True,False,False,1,False,1,0,0,0,0,0,1,0,1,0,1,11.041666666666666,11.923444976076555,10.607655502392344,10.607655502392344,11,-4,4,0.4444441975310014
3495,2016-09-02,14,16.0,11.0,18.0,9.0,9.5,0,2,4,9,False,True,False,False,0,False,1,0,0,0,0,0,1,0,1,0,1,11.041666666666666,13.038277511961722,12.382775119617225,10.607655502392344,12,2,2,0.15384609467457896
3496,2016-09-03,25,18.0,13.0,17.0,18.0,9.25,0,3,5,9,True,True,False,False,1,False,1,0,0,0,0,0,1,0,1,0,1,11.041666666666666,15.524038461538462,11.923444976076555,10.607655502392344,13,12,12,0.6315787811634785
3497,2016-09-04,1,0.0,1.0,1.0,0.0,10.125,0,4,6,9,True,True,False,False,0,False,1,0,0,0,0,0,1,0,1,0,1,11.041666666666666,0.6634615384615384,13.038277511961722,10.607655502392344,1,0,0,0.0
3498,2016-09-05,16,9.0,19.0,6.0,7.0,10.25,1,5,0,9,False,True,False,False,0,False,1,0,0,0,0,0,1,0,1,0,2,11.041666666666666,10.052884615384615,15.524038461538462,12.382775119617225,11,5,5,0.37037023319620993
3499,2016-09-06,13,8.0,9.0,9.0,7.0,11.125,0,6,1,9,False,True,False,False,1,False,1,0,0,0,0,0,1,0,1,0,2,11.041666666666666,10.607655502392344,0.6634615384615384,12.382775119617225,11,2,2,0.16666659722225116
3524,2016-10-01,4,30.0,24.0,19.0,3.0,9.25,0,1,5,10,True,True,False,False,1,False,1,0,0,0,0,0,0,1,1,0,1,11.540322580645162,15.524038461538462,10.607655502392344,10.607655502392344,12,-8,8,0.9999993750003906
3525,2016-10-02,0,1.0,0.0,0.0,0.0,6.0,0,2,6,10,True,True,False,False,0,False,1,0,0,0,0,0,0,1,1,0,1,11.540322580645162,0.6634615384615384,12.382775119617225,10.607655502392344,1,-1,1,1.9999800001999979
3526,2016-10-03,0,1.0,11.0,6.0,7.0,5.875,0,3,0,10,False,True,False,False,0,False,1,0,0,0,0,0,0,1,1,0,2,11.540322580645162,10.052884615384615,11.923444976076555,12.382775119617225,4,-4,4,1.9999950000125002
3527,2016-10-04,11,11.0,7.0,8.0,10.0,5.75,0,4,1,10,False,True,False,False,1,False,1,0,0,0,0,0,0,1,1,0,2,11.540322580645162,10.607655502392344,13.038277511961722,12.382775119617225,10,1,1,0.09523804988664292
3528,2016-10-05,16,9.0,12.0,16.0,14.0,5.75,0,5,2,10,False,True,False,False,0,False,1,0,0,0,0,0,0,1,1,0,2,11.540322580645162,12.382775119617225,15.524038461538462,12.382775119617225,11,5,5,0.37037023319620993
3529,2016-10-06,11,8.0,13.0,18.0,8.0,6.625,0,6,3,10,False,True,False,False,1,False,1,0,0,0,0,0,0,1,1,0,2,11.540322580645162,11.923444976076555,0.6634615384615384,12.382775119617225,10,1,1,0.09523804988664292
3555,2016-11-01,5,9.0,9.0,13.0,8.0,12.25,0,1,1,11,False,True,False,False,1,False,1,0,0,0,0,0,0,1,0,1,1,14.066666666666666,10.607655502392344,10.607655502392344,10.607655502392344,11,-6,6,0.749999531250293
3556,2016-11-02,15,7.0,7.0,13.0,11.0,11.75,0,2,2,11,False,True,False,False,0,False,1,0,0,0,0,0,0,1,0,1,1,14.066666666666666,12.382775119617225,12.382775119617225,10.607655502392344,13,2,2,0.1428570918367529
3557,2016-11-03,23,11.0,11.0,16.0,8.0,12.75,0,3,3,11,False,True,False,False,1,False,1,0,0,0,0,0,0,1,0,1,1,14.066666666666666,11.923444976076555,11.923444976076555,10.607655502392344,15,8,8,0.4210525207756524
3558,2016-11-04,15,19.0,17.0,22.0,15.0,14.25,0,4,4,11,False,True,False,False,0,False,1,0,0,0,0,0,0,1,0,1,1,14.066666666666666,13.038277511961722,13.038277511961722,10.607655502392344,16,-1,1,0.06451610822061025
